source,headline,description,url,published_date,stock_symbol,scraped_at,clean_text,sentiment_label,sentiment_confidence,sentiment_score,date
Synthetic,META receives upgrade from major investment bank,META receives upgrade from major investment bank,http://example.com/news/0,2026-02-05 22:13:59.333464,META,2026-02-08 22:13:59.335463,META receives upgrade from major investment bank META receives upgrade from major investment bank,positive,0.5545334815979004,0.5545334815979004,2026-02-05
Synthetic,NVDA stock surges on positive market sentiment and strong guidance,NVDA stock surges on positive market sentiment and strong guidance,http://example.com/news/1,2026-01-31 22:13:59.333464,NVDA,2026-02-08 22:13:59.336466,NVDA stock surges on positive market sentiment and strong guidance NVDA stock surges on positive market sentiment and strong guidance,positive,0.9392279982566833,0.9392279982566833,2026-01-31
Synthetic,Analysts maintain neutral rating on META stock,Analysts maintain neutral rating on META stock,http://example.com/news/2,2026-01-11 22:13:59.333464,META,2026-02-08 22:13:59.336466,Analysts maintain neutral rating on META stock Analysts maintain neutral rating on META stock,neutral,0.8977025747299194,0.0,2026-01-11
Synthetic,"META reports strong quarterly earnings, beating analyst expectations","META reports strong quarterly earnings, beating analyst expectations",http://example.com/news/3,2026-02-03 22:13:59.333464,META,2026-02-08 22:13:59.336466,"META reports strong quarterly earnings, beating analyst expectations META reports strong quarterly earnings, beating analyst expectations",positive,0.9503942131996155,0.9503942131996155,2026-02-03
Synthetic,"CRM faces increased competition, market share concerns","CRM faces increased competition, market share concerns",http://example.com/news/4,2026-01-31 22:13:59.333464,CRM,2026-02-08 22:13:59.336466,"CRM faces increased competition, market share concerns CRM faces increased competition, market share concerns",neutral,0.4889795184135437,0.0,2026-01-31
Synthetic,ADBE announces layoffs amid cost-cutting measures,ADBE announces layoffs amid cost-cutting measures,http://example.com/news/5,2026-02-02 22:13:59.333464,ADBE,2026-02-08 22:13:59.336466,ADBE announces layoffs amid cost-cutting measures ADBE announces layoffs amid cost-cutting measures,negative,0.955996036529541,-0.955996036529541,2026-02-02
Synthetic,"MSFT faces regulatory scrutiny, stock under pressure","MSFT faces regulatory scrutiny, stock under pressure",http://example.com/news/6,2026-01-12 22:13:59.333464,MSFT,2026-02-08 22:13:59.336466,"MSFT faces regulatory scrutiny, stock under pressure MSFT faces regulatory scrutiny, stock under pressure",neutral,0.6444587707519531,0.0,2026-01-12
Synthetic,"ADBE launches innovative new product, analysts bullish on growth","ADBE launches innovative new product, analysts bullish on growth",http://example.com/news/7,2026-01-21 22:13:59.333464,ADBE,2026-02-08 22:13:59.336466,"ADBE launches innovative new product, analysts bullish on growth ADBE launches innovative new product, analysts bullish on growth",positive,0.8618916869163513,0.8618916869163513,2026-01-21
Synthetic,Analysts maintain neutral rating on META stock,Analysts maintain neutral rating on META stock,http://example.com/news/8,2026-01-12 22:13:59.333464,META,2026-02-08 22:13:59.336466,Analysts maintain neutral rating on META stock Analysts maintain neutral rating on META stock,neutral,0.8977025747299194,0.0,2026-01-12
Synthetic,TSLA maintains steady performance in quarterly report,TSLA maintains steady performance in quarterly report,http://example.com/news/9,2026-01-17 22:13:59.333464,TSLA,2026-02-08 22:13:59.337665,TSLA maintains steady performance in quarterly report TSLA maintains steady performance in quarterly report,negative,0.4309405982494354,-0.4309405982494354,2026-01-17
Synthetic,ADBE announces regular dividend payment to shareholders,ADBE announces regular dividend payment to shareholders,http://example.com/news/10,2026-01-19 22:13:59.333464,ADBE,2026-02-08 22:13:59.337665,ADBE announces regular dividend payment to shareholders ADBE announces regular dividend payment to shareholders,neutral,0.9381548166275024,0.0,2026-01-19
Synthetic,AMZN stock drops on weak guidance and market concerns,AMZN stock drops on weak guidance and market concerns,http://example.com/news/11,2026-01-12 22:13:59.333464,AMZN,2026-02-08 22:13:59.337665,AMZN stock drops on weak guidance and market concerns AMZN stock drops on weak guidance and market concerns,negative,0.9634971618652344,-0.9634971618652344,2026-01-12
Synthetic,"CRM misses earnings expectations, shares decline","CRM misses earnings expectations, shares decline",http://example.com/news/12,2026-01-29 22:13:59.333464,CRM,2026-02-08 22:13:59.337665,"CRM misses earnings expectations, shares decline CRM misses earnings expectations, shares decline",negative,0.9458691477775574,-0.9458691477775574,2026-01-29
